TH?I KHÓA BI?U D? KI?N K? 20252 - C?P NH?T NGÀY 23.02.2026,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
K?,Tr??ng_Vi?n_Khoa,Mã_l?p,Mã_l?p_kèm,Mã_HP,Tên_HP,Tên_HP_Ti?ng_Anh,Kh?i_l??ng,Ghi_chú,Bu?i_s?,Th?,Th?i_gian,B?,KT,Kíp,Tu?n,Phòng,C?n_TN,SL?K,SL_Max,Tr?ng_thái,Lo?i_l?p,??t_m?,Mã_QL,TeachingType
20252,TDDT,169991,169991,AC2030,Khai thác thông tin ?a ph??ng ti?n,Multimedia Information Processing,2(2-1-0-4),CN giáo d?c - nhóm 1-K69S,1,6,0645-0910,1,3,Sáng,"25-32,34-42",D9-503,NULL,36,50,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,TDDT,169991,169991,AC2030,Khai thác thông tin ?a ph??ng ti?n,Multimedia Information Processing,2(2-1-0-4),CN giáo d?c - nhóm 1-K69S,1,6,0645-0910,1,3,Sáng,"25-32,34-42",D9-503,NULL,36,50,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,TDDT,169992,169992,AC2030,Khai thác thông tin ?a ph??ng ti?n,Multimedia Information Processing,2(2-1-0-4),CN giáo d?c - nhóm 2-K69S,1,6,0920-1145,4,6,Sáng,"25-32,34-42",D9-504,NULL,50,50,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,TDDT,168228,168228,AC2040E,C? s? d? li?u,Databases,2(2-1-0-4),**CTTT-?a ph??ng ti?n-K69C,1,6,1505-1730,4,6,Chi?u,"25-32,34-42",D8-302,NULL,36,55,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,TDDT,170001,170001,AC2050,C?u trúc d? li?u và gi?i thu?t,Data Structure and Algorithm,2(2-1-0-4),CN giáo d?c-K69S,1,5,0920-1145,4,6,Sáng,"25-32,34-42",D3-105,NULL,45,45,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,TDDT,169993,169993,AC2060,Nh?p môn trí tu? nhân t?o,Introduction to Artificial Intelligence,2(2-1-0-4),CN giáo d?c - nhóm 1-K69S,1,6,0920-1145,4,6,Sáng,"25-32,34-42",D9-503,NULL,51,55,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,TDDT,169994,169994,AC2060,Nh?p môn trí tu? nhân t?o,Introduction to Artificial Intelligence,2(2-1-0-4),CN giáo d?c - nhóm 2-K69S,1,6,0645-0910,1,3,Sáng,"25-32,34-42",D9-504,NULL,46,55,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,TDDT,169995,169995,AC2070,Thi?t k? và l?p trình web,Web Design and Progamming,3(3-0-1-6),CN giáo d?c - nhóm 1-K69S,1,3,0645-0910,1,3,Sáng,"25-32,34-42",D9-503,TN,56,55,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,TDDT,169996,169996,AC2070,Thi?t k? và l?p trình web,Web Design and Progamming,3(3-0-1-6),CN giáo d?c - nhóm 2-K69S,1,3,0920-1145,4,6,Sáng,"25-32,34-42",D9-504,TN,27,55,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,TDDT,765511,765511,AC2070,Thi?t k? và l?p trình web,Web Design and Progamming,3(3-0-1-6),AC_01,1,2,1245-1445,1245,1445,Chi?u,"29,35,37",D8-1004,NULL,1,12,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,TDDT,765512,765512,AC2070,Thi?t k? và l?p trình web,Web Design and Progamming,3(3-0-1-6),AC_02,1,3,1245-1445,1245,1445,Chi?u,"29,35,37",D8-1004,NULL,13,12,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,TDDT,765513,765513,AC2070,Thi?t k? và l?p trình web,Web Design and Progamming,3(3-0-1-6),AC_03,1,4,1245-1445,1245,1445,Chi?u,"29,35,37",D8-1004,NULL,12,12,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,TDDT,765514,765514,AC2070,Thi?t k? và l?p trình web,Web Design and Progamming,3(3-0-1-6),AC_04,1,5,1245-1445,1245,1445,Chi?u,"29,35,37",D8-1004,NULL,NULL,12,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,TDDT,765515,765515,AC2070,Thi?t k? và l?p trình web,Web Design and Progamming,3(3-0-1-6),AC_05,1,6,1245-1445,1245,1445,Chi?u,"29,35,37",D8-1004,NULL,12,12,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,TDDT,765516,765516,AC2070,Thi?t k? và l?p trình web,Web Design and Progamming,3(3-0-1-6),AC_06,1,2,1500-1700,1500,1700,Chi?u,"29,35,37",D8-1004,NULL,7,12,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,TDDT,765517,765517,AC2070,Thi?t k? và l?p trình web,Web Design and Progamming,3(3-0-1-6),AC_07,1,3,1500-1700,1500,1700,Chi?u,"29,35,37",D8-1004,NULL,12,12,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,TDDT,765518,765518,AC2070,Thi?t k? và l?p trình web,Web Design and Progamming,3(3-0-1-6),AC_08,1,4,1500-1700,1500,1700,Chi?u,"29,35,37",D8-1004,NULL,12,12,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,TDDT,765519,765519,AC2070,Thi?t k? và l?p trình web,Web Design and Progamming,3(3-0-1-6),AC_09,1,5,1500-1700,1500,1700,Chi?u,"29,35,37",D8-1004,NULL,11,12,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,TDDT,765520,765520,AC2070,Thi?t k? và l?p trình web,Web Design and Progamming,3(3-0-1-6),AC_10,1,6,1500-1700,1500,1700,Chi?u,"29,35,37",D8-1004,NULL,3,12,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,TDDT,169997,169997,AC2080,Trò ch?i s? và t??ng tác I,Digital Games and Interaction I,2(2-1-0-4),CN giáo d?c - nhóm 1-K69S,1,3,0920-1145,4,6,Sáng,"25-32,34-42",D9-503,NULL,55,60,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,TDDT,169998,169998,AC2080,Trò ch?i s? và t??ng tác I,Digital Games and Interaction I,2(2-1-0-4),CN giáo d?c - nhóm 2-K69S,1,3,0645-0910,1,3,Sáng,"25-32,34-42",D9-504,NULL,18,60,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,TDDT,168229,168229,AC3010E,Phân tích và thi?t k? h? th?ng,System analysis and design,2(2-1-0-4),**CTTT-?a ph??ng ti?n-K69C,1,2,1505-1730,4,6,Chi?u,"25-32,34-42",C7-228,NULL,38,45,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,TDDT,168230,168230,AC3010E,Phân tích và thi?t k? h? th?ng,System analysis and design,2(2-1-0-4),**CTTT-?a ph??ng ti?n-K69C,1,2,1230-1455,1,3,Chi?u,"25-32,34-42",C7-228,NULL,46,45,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,TDDT,170020,170020,AC3030,Phát tri?n ?ng d?ng,Application Development,2(2-1-0-4),CN giáo d?c - M? 2-K68C,1,3,1230-1455,1,3,Chi?u,"25-32,34-42",C7-217,NULL,29,30,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,TDDT,170021,170021,AC3040,L?p trình di ??ng,Mobile Programming,2(2-1-0-4),CN giáo d?c - M? 2-K68C,1,3,1505-1730,4,6,Chi?u,"25-32,34-42",C7-217,NULL,28,30,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,TDDT,168042,168042,AC4110E,Phân tích và tr?c quan hóa d? li?u,Data analysis and visualization,2(2-1-0-4),**CTTT-?a ph??ng ti?n-K68S,1,3,0920-1145,4,6,Sáng,"25-32,34-42",C7-203,NULL,52,60,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,TDDT,168046,168046,AC4120E,K? x?o ?i?n ?nh,Visual Effects,2(2-1-0-4),**CTTT-?a ph??ng ti?n-K68S,1,4,0920-1145,4,6,Sáng,"25-32,34-42",C7-230,NULL,41,40,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,TDDT,168044,168044,AC4130E,L?p trình game,Game Programming,2(2-1-0-4),**CTTT-?a ph??ng ti?n-K68S,1,2,0920-1145,4,6,Sáng,"25-32,34-42",C7-213,NULL,32,55,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,TDDT,168043,168043,AC4140E,L?p trình web và ?ng d?ng di ??ng,Web and mobile application,3(3-0-1-6),**CTTT-?a ph??ng ti?n-K68S,1,2,0645-0910,1,3,Sáng,"25-32,34-42",C7-213,TN,39,55,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,TDDT,765465,765465,AC4140E,L?p trình web và ?ng d?ng di ??ng,Web and mobile application,3(3-0-1-6),LTW&DD_01,1,2,1245-1445,1245,1445,Chi?u,"28,32,36",D8-1004,NULL,11,12,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,TDDT,765466,765466,AC4140E,L?p trình web và ?ng d?ng di ??ng,Web and mobile application,3(3-0-1-6),LTW&DD_02,1,3,1245-1445,1245,1445,Chi?u,"28,32,36",D8-1004,NULL,4,12,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,TDDT,765467,765467,AC4140E,L?p trình web và ?ng d?ng di ??ng,Web and mobile application,3(3-0-1-6),LTW&DD_03,1,4,1245-1445,1245,1445,Chi?u,"28,32,36",D8-1004,NULL,1,12,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,TDDT,765468,765468,AC4140E,L?p trình web và ?ng d?ng di ??ng,Web and mobile application,3(3-0-1-6),LTW&DD_04,1,5,1245-1445,1245,1445,Chi?u,"28,32,36",D8-1004,NULL,11,12,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,TDDT,765469,765469,AC4140E,L?p trình web và ?ng d?ng di ??ng,Web and mobile application,3(3-0-1-6),LTW&DD_05,1,6,1245-1445,1245,1445,Chi?u,"28,32,36",D8-1004,NULL,12,12,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,TDDT,168038,168038,AC4150E,T??ng tác ng??i - máy,Human machine interaction,2(2-1-0-4),**CTTT-?a ph??ng ti?n-K68S,1,5,0920-1145,4,6,Sáng,"25-32,34-42",C7-107,NULL,41,45,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,THKHSS,168234,168234,BF1016,Sinh h?c ??i c??ng,General Biology,4(3-1-0.5-8),**CTTT-Y sinh-K69C,1,2,1505-1645,4,5,Chi?u,"25-32,34-42",D6-303,TN,56,60,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,THKHSS,168234,168234,BF1016,Sinh h?c ??i c??ng,General Biology,4(3-1-0.5-8),**CTTT-Y sinh-K69C,2,5,1230-1400,1,2,Chi?u,"25-32,34-42",C7-236,TN,56,60,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,THKHSS,763996,763996,BF1016,Sinh h?c ??i c??ng,General Biology,4(3-1-0.5-8),YSESD1,1,2,0730-1145,2,6,Sáng,40-42,C4-401A,NULL,17,20,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,763997,763997,BF1016,Sinh h?c ??i c??ng,General Biology,4(3-1-0.5-8),YSESD2,1,3,0730-1145,2,6,Sáng,40-42,C4-401A,NULL,20,20,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,763998,763998,BF1016,Sinh h?c ??i c??ng,General Biology,4(3-1-0.5-8),YSESD3,1,4,0730-1145,2,6,Sáng,40-42,C4-401A,NULL,19,20,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,169620,169620,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh h?c-Th?c ph?m-K68C,1,6,1410-1730,3,6,Chi?u,"25-32,34-42",D7-301,NULL,43,42,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,169621,169621,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh h?c-Th?c ph?m-K68S,1,2,0645-1005,1,4,Sáng,"25-32,34-42",D3-106,NULL,42,42,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,169622,169622,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh h?c-Th?c ph?m-K68S,1,2,1015-1145,5,6,Sáng,"25-32,34-42",D6-304 ,NULL,5,40,Hu? l?p,LT+BT,AB,CT CHU?N,
20252,THKHSS,169622,169622,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh h?c-Th?c ph?m-K68S,2,5,1015-1145,5,6,Sáng,"25-32,34-42",D6-304 ,NULL,5,40,Hu? l?p,LT+BT,AB,CT CHU?N,
20252,THKHSS,169623,169623,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh h?c-Th?c ph?m-K68S,1,5,0645-1005,1,4,Sáng,"25-32,34-42",D6-304 ,NULL,33,40,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,169624,169624,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh h?c-Th?c ph?m-K68S,1,3,0645-1005,1,4,Sáng,"25-32,34-42",D6-304 ,NULL,39,40,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,169625,169625,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh h?c-Th?c ph?m-K68S,1,3,1015-1145,5,6,Sáng,"25-32,34-42",D6-304 ,NULL,28,40,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,169625,169625,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh h?c-Th?c ph?m-K68S,2,6,1015-1145,5,6,Sáng,"25-32,34-42",D6-304 ,NULL,28,40,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,169626,169626,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh h?c-Th?c ph?m-K68S,1,6,0645-1005,1,4,Sáng,"25-32,34-42",D6-304 ,NULL,40,40,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,168251,168251,BF2572E,K? thu?t các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),**CTTT-Th?c ph?m-K69C,1,4,1230-1455,1,3,Chi?u,"25-32,34-42",C7-119,TN,33,35,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,THKHSS,168252,168252,BF2572E,K? thu?t các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),**CTTT-Th?c ph?m-K69C,1,4,1505-1730,4,6,Chi?u,"25-32,34-42",C7-119,TN,36,36,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,THKHSS,762790,762790,BF2572E,K? thu?t các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N1,1,2,0730-1145,2,6,Sáng,"34,35,36",C4-301,NULL,17,18,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,THKHSS,762790,762790,BF2572E,K? thu?t các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N1,1,2,0730-1145,2,6,Sáng,"34,35,36",TTB4,NULL,17,18,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,THKHSS,762791,762791,BF2572E,K? thu?t các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N2,1,3,0730-1145,2,6,Sáng,"34,35,36",C4-301,NULL,18,18,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,THKHSS,762791,762791,BF2572E,K? thu?t các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N2,1,3,0730-1145,2,6,Sáng,"34,35,36",TTB4,NULL,18,18,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,THKHSS,762792,762792,BF2572E,K? thu?t các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N3,1,4,0730-1145,2,6,Sáng,"34,35,36",C4-301,NULL,16,18,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,THKHSS,762792,762792,BF2572E,K? thu?t các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N3,1,4,0730-1145,2,6,Sáng,"34,35,36",TTB4,NULL,16,18,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,THKHSS,762793,762793,BF2572E,K? thu?t các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N4,1,5,0730-1145,2,6,Sáng,"34,35,36",C4-301,NULL,18,18,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,THKHSS,762793,762793,BF2572E,K? thu?t các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N4,1,5,0730-1145,2,6,Sáng,"34,35,36",TTB4,NULL,18,18,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,THKHSS,167780,167780,BF2701E,Nh?p môn K? thu?t Sinh h?c,Introduction to Biotechnology,3(3-0-0-6),**CTTT - Sinh h?c-K70S,1,3,0920-1145,4,6,Sáng,26-42,D6-302,NULL,45,50,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,THKHSS,167020,167020,BF2702,Hóa sinh,Biochemistry,4(4-0-0-8),Sinh h?c 01-K70S,1,4,0825-1145,3,6,Sáng,26-42,D3-405,NULL,70,70,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,167021,167021,BF2702,Hóa sinh,Biochemistry,4(4-0-0-8),Sinh h?c 02-K70S,1,4,0825-1145,3,6,Sáng,26-42,D3-406,NULL,57,70,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,167022,167022,BF2702,Hóa sinh,Biochemistry,4(4-0-0-8),Sinh h?c 03-K70S,1,6,0645-1005,1,4,Sáng,26-42,D3-405,NULL,70,70,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,167023,167023,BF2702,Hóa sinh,Biochemistry,4(4-0-0-8),Sinh h?c 04-K70S,1,6,0645-1005,1,4,Sáng,26-42,D3-406,NULL,56,70,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,168257,168257,BF2702E,Hoá sinh,Biochemistry,4(4-0-0-8),**CTTT-Sinh h?c-K69C,1,4,1410-1730,3,6,Chi?u,"25-32,34-42",D8-402,NULL,50,50,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,THKHSS,764061,764061,BF2702E,Hoá sinh,Biochemistry,4(4-0-0-8),HSE1,1,4,1315-1730,2,6,Chi?u,"28-32, 35-39",C10-107,NULL,NULL,17,Hu? l?p,TN,AB,ELITECH,
20252,THKHSS,764016,764016,BF2703,Thí nghi?m hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),HS1,1,2,1315-1730,2,6,Chi?u,"28-32, 35-39",C10-107,NULL,17,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764017,764017,BF2703,Thí nghi?m hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),HS2,1,2,1315-1730,2,6,Chi?u,"28-32, 35-39",C10-108,NULL,14,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764018,764018,BF2703,Thí nghi?m hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),HS3,1,3,1315-1730,2,6,Chi?u,"28-32, 35-39",C10-107,NULL,17,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764019,764019,BF2703,Thí nghi?m hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),HS4,1,3,1315-1730,2,6,Chi?u,"28-32, 35-39",C10-108,NULL,17,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764020,764020,BF2703,Thí nghi?m hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),HS5,1,4,1315-1730,2,6,Chi?u,"28-32, 35-39",C10-108,NULL,13,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
